water,area,prod,city,name,visited,Rank
4552000.0,2465.0,9218.0,Alexandria,Rice,0,1
975672000.0,187054.0,632597.0,Sharkia,Rice,0,2
269677000.0,47059.0,162307.0,Damietta,Rice,0,3
1310861000.0,228275.0,832509.0,Dakahlia,Rice,0,4
1195849000.0,190460.0,760126.0,Kafr el sheikh,Rice,0,5
29896000.0,4710.0,16048.0,Ismailia,Rice,0,6
117485000.0,18195.0,54694.0,Port said,Rice,0,7
751795000.0,116431.0,419967.0,Behaira,Rice,0,8
387853000.0,60067.0,222849.0,Gharbia,Rice,0,9
12475000.0,1932.0,5945.0,Quliubiya,Rice,0,10
3230000.0,479.0,1505.0,Fayoum,Rice,0,11
1396000.0,207.0,768.0,Beni sweif,Rice,0,12
0,0,0.0,Assuit,Rice,0,13
0,0,0.0,Aswan,Rice,0,14
0,0,0.0,Cairo,Rice,0,15
0,0,0.0,Giza,Rice,0,16
0,0,0.0,Luxor,Rice,0,17
0,0,0.0,Minya,Rice,0,18
0,0,0.0,Monoufia,Rice,0,19
0,0,0.0,Qena,Rice,0,20
0,0,0.0,Sohag,Rice,0,21
0,0,0.0,Suez,Rice,0,22
6130000.0,8109.0,16190.0,Aswan,Maize,0,1
2240000.0,1050.0,2438.0,Giza,Maize,0,2
5854000.0,2208.0,4979.0,Luxor,Maize,0,3
62163000.0,17906.0,43951.0,Minya,Maize,0,4
23365000.0,6252.0,12991.0,Beni sweif,Maize,0,5
249104000.0,65435.0,176966.0,Assuit,Maize,0,6
131692000.0,34133.0,75043.0,Qena,Maize,0,7
384894000.0,99603.0,227485.0,Sohag,Maize,0,8
532630000.0,130803.0,242096.0,Fayoum,Maize,0,9
0,0,0.0,Alexandria,Maize,0,10
0,0,0.0,Behaira,Maize,0,11
0,0,0.0,Cairo,Maize,0,12
0,0,0.0,Dakahlia,Maize,0,13
0,0,0.0,Damietta,Maize,0,14
0,0,0.0,Gharbia,Maize,0,15
0,0,0.0,Ismailia,Maize,0,16
0,0,0.0,Kafr el sheikh,Maize,0,17
0,0,0.0,Monoufia,Maize,0,18
0,0,0.0,Port said,Maize,0,19
0,0,0.0,Quliubiya,Maize,0,20
0,0,0.0,Sharkia,Maize,0,21
0,0,0.0,Suez,Maize,0,22
21484000.0,46737.0,137891.0,Alexandria,Sorghum,0,1
177000.0,138.0,272.0,Cairo,Sorghum,0,2
207399000.0,155024.0,604316.0,Dakahlia,Sorghum,0,3
249532999.99999997,110279.0,363272.0,Gharbia,Sorghum,0,4
27204000.0,11825.0,26223.0,Aswan,Sorghum,0,5
779188000.0,290789.0,1014374.0,Sharkia,Sorghum,0,6
99076000.0,34571.0,116176.0,Ismailia,Sorghum,0,7
868114000.0,290455.0,974584.0,Behaira,Sorghum,0,8
255265000.0,84462.0,286364.0,Quliubiya,Sorghum,0,9
16100999.999999998,5187.0,11311.0,Suez,Sorghum,0,10
137920000.0,44223.0,137225.0,Giza,Sorghum,0,11
219270000.0,69365.0,245253.0,Kafr el sheikh,Sorghum,0,12
33646000.0,9849.0,24093.0,Port said,Sorghum,0,13
1039294000.0,295449.0,801407.0,Minya,Sorghum,0,14
812799000.0,208073.0,569782.0,Assuit,Sorghum,0,15
157571000.0,39404.0,75118.0,Qena,Sorghum,0,16
654721000.0,162455.0,461355.0,Sohag,Sorghum,0,17
689161000.0,168697.0,629690.0,Monoufia,Sorghum,0,18
